"Facility Name",Facility,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates
"Fluvanna I","Fluvanna I",,,,,"Scurry County, TX","155.4 MW",74,2017,Gamesa,,"32.8997°, -101.1336°"
"Flying Cloud Wind Farm","Flying Cloud","Commercial Scale Wind","PPM Energy Inc","Clipper Windpower","Alliant/IES Utilities","West of Spirit Lake IA","43.5 MW",29,2003,"GE Energy","In Service","43.4169°, -95.4222°"
"Foote Creek Rim I Wind Farm","Foote Creek Rim I","Commercial Scale Wind","PacifiCorp/Eugene Water & Electric Board",SeaWest/Tomen,"PacifiCorp/Eugene Water & Electric Board","Carbon County WY","41.4 MW",69,1999,Mitsubishi,"In Service","41.6525°, -106.1900°"
"Foote Creek Rim II Wind Farm","Foote Creek Rim II","Commercial Scale Wind",Caithness,SeaWest,"Bonneville Power Admin","Carbon County WY","1.8 MW",3,1999,Mitsubishi,"In Service","41.6639°, -106.1861°"
"Foote Creek Rim III Wind Farm","Foote Creek Rim III","Commercial Scale Wind",Caithness,"SeaWestM&N Wind Power","Xcel Energy","Carbon County WY","24.75 MW",33,1999,"NEG Micon","In Service","41.6436°, -106.1989°"
"Foote Creek Rim IV Wind Farm","Foote Creek Rim IV","Commercial Scale Wind",Caithness,SeaWest,"Bonneville Power Admin","Carbon County WY","16.8 MW",28,2000,Mitsubishi,"In Service","41.6264°, -106.2022°"
"Forbes Park Wind Farm","Forbes Park","Commercial Scale Wind","Forbes Park","Boreal Renewable Energy","Forbes Park","Chelsea MA","0.6 MW",1,2008,,"In Service","42.3917°, -71.0328°"
"Forest City High School Wind Farm","Forest City High School","Community Wind","Forest City High School","Forest City High School","Forest City Community School District","Forest City IA","0.6 MW",1,1999,Nordex,"In Service","43.2661°, -93.6533°"
"Forest Creek Wind Farm","Forest Creek Wind Farm","Commercial Scale Wind","E.On Climate & Renewables","E.On Climate & Renewables/RGI",Luminant,"Glasscock and Sterling Counties TX","124.2 MW",54,2006,Siemens,"In Service","31.9372°, -101.3125°"
"Fort Buchanan","Fort Buchanan",,,,,"Bayamon Municipio, PR","0.825 MW",3,2013,Vergnet,,"18.4161°, -66.1286°"
"Fort Hays State University","Fort Hays State University",,,,,"Ellis County, KS","4 MW",2,2013,Vestas,,"38.8747°, -99.4056°"
"Fort Huachuca","Fort Huachuca",,,,,"Cochise County, AZ","1 MW",1,2011,Nordic,,"31.5053°, -110.3175°"
"Fort Totten Wind Farm","Fort Totten","Definition:Small Scale Wind","Spirit Lake Sioux",,"Spirit Lake Sioux","Fort Totten ND","0.1 MW",1,1997,"NEG Micon","In Service","47.9817°, -99.0028°"
"Forward Expansion Wind Farm","Forward Expansion","Commercial Scale Wind",Invenergy,Invenergy,"Alliant- Wisconsin Public Service-Madison Gas & Electric- Wisconsin Public Power","Dodge and Fond du Lac Counties WI","30 MW",20,2008,"GE Energy","In Service","43.6314°, -88.5564°"
"Forward Fontanelle","Forward Fontanelle","Community Wind","Forward Fontanelle Power LLC (community owned)",,"City of Fontanelle - excess to Central Iowa Power Coopeative","Fontanelle IA","1.6 MW",1,2012,"GE Energy","In Service","41.3397°, -94.5708°"
"Forward Phase I Wind Farm","Forward Phase I","Commercial Scale Wind",Invenergy,Invenergy,"Alliant- Wisconsin Public Service- Madison Gas & Electric-Wisconsin Public Power","Dodge and Fond du Lac Counties WI","99 MW",66,2008,"GE Energy","In Service","43.6069°, -88.5347°"
"Forward Wind Farm",Forward,"Commercial Scale Wind","Edison Mission Group","Edison Mission Group",N/a,"Shade Township Park PA","29.4 MW",14,2008,"Suzlon Energy Company","In Service","40.1153°, -78.8056°"
"Fossil Gulch Wind Park","Fossil Gulch Wind Park","Commercial Scale Wind","Exergy Development Group/United Materials","Exergy Development Group/United Materials","Idaho Power","Northwest of Hagerman ID","10.5 MW",7,2005,"GE Energy","In Service","42.8142°, -114.9967°"
"Fourmile Ridge","Fourmile Ridge",,,,,"Garrett County, MD","40 MW",16,2014,Nordex,,"39.6403°, -79.0069°"
"Fowler Ridge II Wind Farm","Fowler Ridge II","Commercial Scale Wind","BP Alternative Energy","BP Alternative Energy","AEP/Vectron Energy","Benton County IN","199.5 MW",133,2009,"GE Energy","In Service","40.6139°, -87.3186°"
"Fowler Ridge Wind Farm Phase I (Clipper)","Fowler Ridge Wind Farm Phase I (Clipper)","Commercial Scale Wind","BP Alternative Energy/Dominion Energy","BP Alternative Energy/Dominion Energy","AEP-Appalachian Power/AEP-Indiana Michigan Power","Benton and Tippecanoe Counties IN","100 MW",40,2009,Clipper,"In Service","40.6139°, -87.3186°"
"Fowler Ridge Wind Farm Phase I (Vestas)","Fowler Ridge Wind Farm Phase I (Vestas)","Commercial Scale Wind","BP Alternative Energy/Dominion Energy","BP Alternative Energy/Dominion Energy","AEP-Appalachian Power/AEP-Indiana Michigan Power","Benton and Tippecanoe Counties IN","300.3 MW",182,2009,Vestas,"In Service","40.6139°, -87.3186°"
"Fox Islands Wind Project","Fox Islands Wind Project","Commercial Scale Wind","Fox Islands Electric Cooperative","Fox Islands Electric Cooperative","Fox Islands Electric Cooperative","Vinalhaven Island ME","4.5 MW",1,2009,"GE Energy","In Service","44.0883°, -68.8578°"
"Franklin County Wind LLC","Franklin County Wind","Commercial Scale Wind","Franklin County Wind LLC","Franklin County Wind LLC","Merchant (MISO)","Franklin County IA","99 MW",60,2012,Vestas,"In Service","42.6147°, -93.3656°"
"Franklin County Wind Project","Franklin County","Community Wind",,,,,,1,,SkyStream,,"37.0147°, -79.8950°"
"Frey Farm","Frey Farm","Community Wind","PPL Renewable Energy","PPL Renewable Energy LLC / Lancaster County Solid Waste Management Authority","Turkey Hill Dairy","Conestoga PA","3.2 MW",2,2011,"GE Energy","In Service","39.9592°, -76.4561°"
Frisco,Frisco,"Commercial Scale Wind",DeWind,DeWind,,"Guymon OK","20 MW",10,2012,DeWind,"In Service","36.4978°, -101.4881°"
"Frontier I","Frontier I",,,,,"Kay County, OK","184.8 MW",56,2016,Vestas,,"36.8419°, -97.2206°"
"Future Generation Wind","Future Generation Wind",,,,,"Plymouth County, MA","8 MW",4,2016,Gamesa,,"41.7750°, -70.6131°"
"G. McNeilus Wind Farm","G. McNeilus Wind Farm","Commercial Scale Wind",,"G. McNeilus","Dairyland Power Cooperative/others","Adams MN","13.5 MW",9,2003,,"In Service","43.5547°, -92.7289°"
"G.M. Allen & Sons Wind Farm","G.M. Allen & Sons","Definition:Small Scale Wind","Endless Energy","Endless Energy","G.M. Allen & Sons farm","Orland ME","0.05 MW",1,2001,"Atlantic Orient Co.","In Service","44.5703°, -68.7378°"
"G3 Wind Farm","G3 Wind Farm","Community Wind",G3,"Bob Lewandowski",,"Southeast of Boise ID","0.22 MW",3,2003,,"In Service","43.5142°, -116.0881°"
"GL Wind","GL Wind","Commercial Scale Wind","GL Wind","Juhl Wind","Xcel Energy","Lewiston MN","4.95 MW",2,2011,Clipper,"In Service","43.9981°, -91.8583°"
GSA,GSA,"Commercial Scale Wind",GSA,,GSA,"Jackman ME","0.2 MW",2,2010,"Northern Power Systems","In Service","45.8053°, -70.3961°"
"GSG Wind Farm","GSG Wind Farm","Commercial Scale Wind","Babcock & Brown","FPC Services",,"Lee and LaSalle Counties IL","80 MW",40,2007,Gamesa,"In Service","41.7108°, -89.0500°"
"GWE LLC","GWE LLC","Commercial Scale Wind","Goodwind Energy Inc","Goodwind Energy Inc","Central Iowa Power Cooperative",,"4 MW",2,2012,"HZ Windpower","In Service","42.0028°, -93.4803°"
"Gaines Cavern Wind Project","Gaines Cavern Wind Project","Commercial Scale Wind","General Compression","Texas Dispatchable Wind 1 LLC",,"Gaines County TX","2 MW",1,2012,Gamesa,"In Service","32.6886°, -103.0625°"
"Galactic Wind","Galactic Wind","Commercial Scale Wind","Epic Systems","Epic Systems","Epic Systems","Waunakee WI","9.9 MW",6,2012,Vestas,"In Service","43.1731°, -89.5606°"
"Galveston Offshore Wind Farm","Galveston Offshore Wind Farm","Offshore Wind","Wind Energy Systems Technology","Wind Energy Systems Technology",,"Offshore from Galveston TX","150 MW",50,,XEMC,Proposed,"29.1611°, -94.7969°"
"Galveston Offshore Wind Phase 2","Galveston Offshore Wind Phase 2","Offshore Wind","Coastal Point Energy LLC","Coastal Point Energy LLC",,"Gulf of Mexico TX","150 MW",75,,XEMC,Proposed,"29.1600°, -94.7469°"
"Galveston Test","Galveston Test","Offshore Wind","Coastal Point Energy LLC","Galveston Offshore Wind LLC",,"Gulf of Mexico TX","3 MW",1,,Mingyang,Proposed,"29.1611°, -94.7731°"
"Gambell Wind","Gambell Wind",,,,,"Nome Census Area, AK","0.3 MW",3,2010,"Northern Power Systems",,"63.7789°, -171.7117°"
"Garden State Offshore Wind Farm","Garden State Offshore Wind Farm","Offshore Wind",,"Garden State Offshore Energy",,"Offshore from Avalon NJ","350 MW",96,,Undetermined,Proposed,"39.0800°, -74.3106°"
"Garnet Wind","Garnet Wind","Commercial Scale Wind","Azusa Light & Water","Azusa Light & Water","Azusa Light & Water","Palm Springs CA","6.5 MW",13,2009,,"In Service","33.9183°, -116.7011°"
"Gary Wind Energy Project","Gary Wind Energy Project","Definition:Small Scale Wind","Energy Maintenance Services-Distributed Energy Services","Energy Maintenance Services-Distributed Energy Services","Energy Maintenance Services-Distributed Energy Services","Gary SD","0.09 MW",1,2002,Vestas,"In Service","44.7906°, -96.4547°"
"Georgia Mountain","Georgia Mountain","Commercial Scale Wind","All Earth Renewables","All Earth Renewables","Green Mountain Power","Milton VT","10 MW",4,2012,Goldwind,"In Service","44.6622°, -73.0681°"
"Glacier Hills","Glacier Hills","Commercial Scale Wind","We Energies","We Energies","We Energies","Between Portage and Randolph above Highway 33 WI","162 MW",90,2011,Vestas,"In Service","43.5719°, -89.1114°"
"Glacier I Wind Farm","Glacier I","Commercial Scale Wind",NaturEner,NaturEner,,"Near Ethridge MT","106.5 MW",71,2008,Acciona,"In Service","48.5556°, -112.1211°"
"Glacier II","Glacier II","Commercial Scale Wind",NaturEner,NaturEner,"San Diego Gas & Electric","Near Ethridge MT","103.5 MW",69,2009,Acciona,"In Service","48.5556°, -112.1211°"
"Glenrock III Wind Farm","Glenrock III","Commercial Scale Wind",EnXco,PacifiCorp,EnXco,"Converse WY","39 MW",26,2009,"GE Energy","In Service","43.0347°, -105.8439°"
"Glenrock Wind Farm",Glenrock,"Commercial Scale Wind",PacifiCorp,PacifiCorp,PacifiCorp,"East of Casper WY","99 MW",66,2008,"GE Energy","In Service","43.0042°, -105.8128°"
"Goat Mountain Phase I Wind Farm","Goat Mountain Phase I","Commercial Scale Wind","Cielo/Edison Mission Group","Cielo/Edison Mission Group",Market,"North of San Angelo TX","80 MW",80,2008,Mitsubishi,"In Service","31.9086°, -100.8242°"
"Goat Mountain Phase II Wind Farm","Goat Mountain Phase II","Commercial Scale Wind","Cielo/Edison Mission Group","Cielo/Edison Mission Group",Market,"North of San Angelo TX","69.6 MW",29,2009,Mitsubishi,"In Service","31.9100°, -100.8694°"
"Gob Nob","Gob Nob","Commercial Scale Wind","Rural Electric Convenience Cooperative Project","Rural Electric Convenience Cooperative Project",,"Montgomery County IL","0.9 MW",1,2009,"Emergya Wind Technologies","In Service","39.4383°, -89.6283°"
"Golden Acorn Casino","Golden Acorn Casino",,,,,"San Diego County, CA","1.85 MW",1,2014,"GE Wind",,"32.7014°, -116.3514°"
"Golden Hills","Golden Hills",,,,,"Alameda County, CA","85.9 MW",48,2015,"GE Wind",,"37.7189°, -121.6144°"
"Golden Hills North","Golden Hills North",,,,,"Alameda County, CA","46 MW",20,2017,"GE Wind",,"37.7497°, -121.6289°"
"Golden Hills Wind Farm","Golden Hills Wind Farm","Commercial Scale Wind","BP Alternative Energy","BP Alternative Energy",,"Near Wasco in Sherman County OR","400 MW",267,,Undetermined,Proposed,"45.5475°, -120.7611°"
"Golden Spread Panhandle Wind Ranch","Golden Spread Panhandle Wind Ranch","Commercial Scale Wind","Golden Spread Electric Cooperative",Cielo,"Golden Spread Electric Cooperative","Wildarado TX","78.2 MW",34,2011,Siemens,"In Service","35.2278°, -102.2325°"
"Golden Valley Wind Park","Golden Valley Wind Park","Commercial Scale Wind",Exergy,Exergy,"Idaho Power","Cassia County ID","12 MW",8,2011,"GE Energy","In Service","42.3800°, -113.8769°"
"Golden West Wind Farm","Golden West Wind Farm",,,,,"El Paso County, CO","249.2 MW",145,2015,"GE Wind",,"38.9614°, -104.2658°"
Goldthwaite,Goldthwaite,,,,,"Mills County, TX","141.1 MW",83,2013,"GE Wind",,"31.3364°, -98.4550°"
"Goodland I Wind Farm","Goodland I","Commercial Scale Wind",,"Orion Energy Group","Duke Energy Carolinas LLC","Benton County near Earl Park IN","130.5 MW",87,2008,"GE Energy","In Service","40.6864°, -87.4350°"
"Goodnoe Hills Wind Farm","Goodnoe Hills","Commercial Scale Wind","EnXco/Power Holdings","EnXco/Power Holdings",PacifiCorp,Goldendale,"94 MW",47,2008,REpower,"In Service","45.7842°, -120.5525°"
"Goodwell a",Goodwell_a,,,,,"Texas County, OK","58 MW",29,2015,Vestas,,"36.5458°, -101.5953°"
"Goodwell b",Goodwell_b,,,,,"Texas County, OK","142 MW",71,2015,Vestas,,"36.5186°, -101.6067°"
"Gordon Butte","Gordon Butte","Commercial Scale Wind","Gordon Butte Wind LLC","Oversight Resources LLC","Northwestern Energy","Martinsdale MT","9 MW",6,2012,"GE Energy","In Service","46.4103°, -110.3342°"
"Goshen North Wind Project","Goshen North Wind Project","Commercial Scale Wind","BP Wind Energy/Ridgeline Energy","BP Wind Energy/Ridgeline Energy","Southern California Edison Co","Bonneville County ID","124.5 MW",83,2010,"GE Energy","In Service","43.5111°, -111.8861°"
"Grafton Technical College Wind Farm","Grafton Technical College","Definition:Small Scale Wind","Grafton Technical College","Grafton Technical College","Grafton Technical College","Grafton ND","0.07 MW",1,1997,,"In Service","48.4061°, -97.4261°"
"Grand Meadow Wind Farm","Grand Meadow","Commercial Scale Wind",EnXco,EnXco,"Xcel Energy","Dexter MN","100.5 MW",67,2008,"GE Energy","In Service","43.7078°, -92.6542°"
"Grand Ridge II Wind Farm","Grand Ridge II","Commercial Scale Wind",Invenergy,Invenergy,"AEP-Appalachian Power","La Salle County IL","51 MW",34,2009,"GE Energy","In Service","41.1550°, -88.7503°"
"Grand Ridge III Wind Farm","Grand Ridge III","Commercial Scale Wind",Invenergy,Invenergy,"AEP-Appalachian Power","La Salle County IL","60 MW",40,2009,"GE Energy","In Service","41.1550°, -88.7503°"
"Grand Ridge Wind Farm","Grand Ridge Wind Farm","Commercial Scale Wind",Invenergy,Invenergy,,"La Salle County IL","99 MW",66,2008,"GE Energy","In Service","41.0000°, -88.4017°"
"Grande Prairie","Grande Prairie",,,,,"Holt County, NE","400 MW",200,2016,Vestas,,"42.6125°, -98.4531°"
"Grandview I","Grandview I",,,,,"Carson County, TX","211.22 MW",118,2014,"GE Wind",,"35.2297°, -101.2219°"
"Grandview II (Colbeck's Corner)","Grandview II (Colbeck's Corner)",,,,,"Carson County, TX","200.48 MW",112,2016,"GE Wind",,"35.2961°, -101.1725°"
"Granite Reliable Power","Granite Reliable Power","Commercial Scale Wind","Brookfield Renewable Energy Group","Brookfield Renewable Energy Group","Green Mountain Power / Central Vermont Public Service / New England Power Pool","Milan NH","99 MW",33,2012,Vestas,"In Service","44.7403°, -71.2839°"
"Grant County Wind Farm","Grant County Wind Farm","Commercial Scale Wind","Olympus Power","Suzlon and Juhl Wind",,"5 miles west of Hoffman and 6 miles south of Barrett MN","20 MW",10,2010,"Suzlon Energy Company","In Service","45.8286°, -95.7953°"
"Grant Plains","Grant Plains",,,,,"Grant County, OK","147.2 MW",64,2016,Siemens,,"36.9828°, -97.6892°"
"Grant Wind","Grant Wind",,,,,"Grant County, OK","151.8 MW",66,2016,Siemens,,"36.9164°, -97.6214°"
Gratiot,Gratiot,"Commercial Scale Wind","Detroit Edison",Invenergy,"Detroit Edison","Breckenridge MI","102.4 MW",64,2011,"GE Energy","In Service","43.3936°, -84.5083°"
"Gratiot County","Gratiot County","Commercial Scale Wind",Ivenergy,Ivenergy,"Detroit Edison","Breckenridge MI","110.4 MW",69,2012,"GE Energy","In Service","43.3800°, -84.4897°"
"Gray County Wind Farm","Gray County Wind Farm","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources",Aquila,"Gray County KS","112.2 MW",170,2001,Vestas,"In Service","37.5856°, -100.3839°"
"Grays Harbor Demonstration Project","Grays Harbor Demonstration Project","Offshore Wind","Grays Harbor Ocean Energy Company LLC","Grays Harbor Ocean Energy Company LLC",,"Pacific Ocean","10 MW",1,,,Proposed,"46.8581°, -124.1869°"
"Great Lakes Science Center Wind Farm","Great Lakes Science Center","Community Wind","Great Lakes Science Center","Great Lakes Science Center","Great Lakes Science Center","Cleveland OH","0.23 MW",1,2006,Vestas,"In Service","41.5067°, -81.6969°"
"Great Plains Wind Farm","Great Plains","Commercial Scale Wind","Noble Environmental","Noble Environmental",,"Hansford County TX","114 MW",76,2009,"GE Energy","In Service","36.2858°, -101.3586°"
"Great River Energy Headquarters","Great River Energy Headquarters",,,,,"Hennepin County, MN","0.225 MW",1,2008,"NEG Micon",,"45.0950°, -93.4353°"
"Great Western","Great Western",,,,,"Woodward County, OK","126 MW",63,2016,Vestas,,"36.1864°, -99.4769°"
"Green Mountain Energy Wind Farm I","AMP-Ohio/Green Mountain Energy Wind Farm","Commercial Scale Wind","Bowling Green","AMP Ohio","Bowling Green","Bowling Green OH","3.6 MW",2,2003,Vestas,"In Service","41.3750°, -83.7381°"
"Green Mountain Energy Wind Farm II","AMP-Ohio/Green Mountain Energy Wind Farm","Commercial Scale Wind","Ohio Municipal Electric Generation Agency Joint Venture 6","AMP Ohio","Ohio Municipal Electric Generation Agency Joint Venture 6","Bowling Green OH","3.6 MW",2,2004,Vestas,"In Service","41.3750°, -83.7381°"
"Green Mountain Power","Green Mountain Power",,,,,"Bennington County, VT","6.05 MW",11,1997,Zond,,"42.8636°, -72.9617°"
"Green Mountain Wind Farm","Green Mountain Wind Farm","Commercial Scale Wind","NextEra Energy Resources","National Wind Power","Green Mountain Energy Company","Somerset County PA","10.4 MW",8,2000,Nordex,"In Service","39.8508°, -79.0667°"
"Green Pastures I","Green Pastures I",,,,,"Baylor County, TX","150 MW",50,2015,Acciona,,"33.6206°, -99.3658°"
"Green Pastures II","Green Pastures II",,,,,"Knox County, TX","150 MW",50,2015,Acciona,,"33.6753°, -99.5317°"
"Green Power Wind Farm","Green Power","Commercial Scale Wind","NextEra Energy Resources","GE Energy","Southern California Edison Co","San Gorgonio CA","16.5 MW",22,1999,Zond,"In Service","33.9094°, -116.7339°"
"Green Ridge Power Wind Farm I","Green Ridge Power","Commercial Scale Wind","NextEra Energy Resources",Kenetech,"Pacific Gas & Electric Co","Altamont Pass CA","147.6 MW",1476,,Kenetech,"In Service","37.7347°, -121.6519°"
"Green Ridge Power Wind Farm II","Green Ridge Power","Commercial Scale Wind","NextEra Energy Resources",Kenetech,"Pacific Gas & Electric Co","Altamont Pass CA","12.3 MW",41,,Kenetech,"In Service","37.7347°, -121.6519°"
"Greenfield Wind","Greenfield Wind","Community Wind","Greenfield Wind Power LLC (community owned)",,"City of Greenfield - excess to Central Iowa Power Cooperative","Greenfield IA","1.6 MW",1,2012,"GE Energy","In Service","41.2906°, -94.4856°"
"Greenfield Wind Farm","Greenfield Wind Farm",,,,,"Teton County, MT","29.9 MW",13,2016,"GE Wind",,"47.7183°, -111.9033°"
"Greensburg Wind Farm","Greensburg Wind Farm","Commercial Scale Wind","John Deere Wind","John Deere Wind",,"Southwest of Greensburg KS","12.5 MW",10,2010,"Suzlon Energy Company","In Service","37.5761°, -99.3208°"
Groton,Groton,"Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables",NSTAR,"Hebron NH","48 MW",24,2012,Gamesa,"In Service","43.7550°, -71.8283°"
"Guam Power Authority Wind Turbine","Guam Power Authority Wind Turbine",,,,,"Guam, GU","0.275 MW",1,2016,Vergnet,,"13.3894°, 144.7228°"
"Gulf Wind Farm","Gulf Wind","Commercial Scale Wind","Pattern Energy","Babcock & Brown","Pattern Energy","South of Sarita TX","283.2 MW",118,2009,Mitsubishi,"In Service","27.0814°, -97.5617°"
Gunsight,Gunsight,,,,,"Howard County, TX","119.93 MW",67,2016,"GE Wind",,"32.4969°, -101.3736°"
"Guthrie WWTP","Guthrie WWTP",,,,,"Logan County, OK","0.1 MW",1,2001,"Northern Power Systems",,"35.9025°, -97.4353°"
"H & S - Tehachapi","H & S - Tehachapi",,,,,"Kern County, CA","4.05 MW",45,1985,Vestas,,"35.0753°, -118.3833°"
"Hackberry Wind Project","Hackberry Wind Project","Commercial Scale Wind","RES Americas","RES Americas","Austin Energy","Shackelford County TX","165.6 MW",72,2008,Siemens,"In Service","32.7656°, -99.4133°"
"Half Hollow Nursery","Half Hollow Nursery","Definition:Small Scale Wind","Half Hollow Nursery",,"Half Hollow Nursery","Laurel NY","0.1 MW",1,2010,"Northern Power Systems","In Service","40.7911°, -73.3389°"
"Hampton Roads Demonstration Project","Hampton Roads Demonstration Project","Offshore Wind",,"Virginia State Government",,"Chesapeake Bay VA","15 MW",3,,,Proposed,"36.9650°, -76.2889°"
Hancock,Hancock,,,,,"Hancock County, ME","51 MW",17,2016,Vestas,,"44.7647°, -68.1758°"
"Hancock County Wind Farm","Hancock County Wind Farm","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Alliant Energy (44 MW); rest purchased by Corn Belt Cooperative and Cedar Falls","Hancock County IA","97.68 MW",148,2002,Vestas,"In Service","43.0664°, -93.7047°"
Hanover,Hanover,"Community Wind","City of Hanover","City of Hanover",,"Hanover MA","0.25 MW",1,,Siva,"In Service",
"Happy Jack Wind Farm","Happy Jack","Commercial Scale Wind","Duke Energy Carolinas LLC","Duke Energy Carolinas LLC","Cheyenne Light Fuel & Power","Near Cheyenne WY","29.4 MW",14,2008,"Suzlon Energy Company","In Service","41.1375°, -104.9950°"
"Harbec Plastic Wind Turbine Wind Farm","Harbec Plastic Wind Turbine","Community Wind","Harbeck Plastic","Lorax Energy Systems","Harbeck Plastic","Rochester NY","0.25 MW",1,2002,Fuhrlander,"In Service","43.2261°, -77.3617°"
"Harbec Plastics","Harbec Plastics","Community Wind","Northern Developments LLC","Harvest the Wind",,"Ontario NY","0.85 MW",1,2012,Gamesa,"In Service","43.2261°, -77.3617°"
"Harbor Wind","Harbor Wind","Commercial Scale Wind","Harbor Wind LLC","Revolution Energy",,"Corpus Christi TX","9 MW",6,2012,Guodian,"In Service","27.8306°, -97.4342°"
"Hardin-Hilltop Wind Project","Hardin-Hilltop Wind Project","Community Wind","Community wind","Community wind",Alliant,"Greene County IA","14.7 MW",7,2007,"Suzlon Energy Company","In Service","42.0861°, -94.3500°"
"Hardscrabble Wind Power Project","Hardscrabble Wind Power Project","Commercial Scale Wind",,"Atlantic Wind",,"Fairfield and Norway north of Little Falls NY","74 MW",37,2010,Gamesa,"In Service","43.0764°, -74.8597°"
"Harpster Wind","Harpster Wind",,,,,"Wyandot County, OH","1.5 MW",1,2016,Goldwind,,"40.7183°, -83.2286°"
"Hartland Wind Farm","Hartland Wind Farm","Commercial Scale Wind",,"Denali Energy Inc./Montgomery Energy Partners LP",,"Ward ND","500 MW",333,,,Proposed,"48.5567°, -101.7778°"
"Harvest II","Harvest II","Commercial Scale Wind","Exelon Wind","Exelon Wind","Consumers Energy","Pigeon MI","59.4 MW",33,2012,Vestas,"In Service","43.8386°, -83.2172°"
"Harvest Wind Farm I","Harvest Wind Farm","Commercial Scale Wind","Cowlitz PUD; Lakeview Light and Power; Peninsula Light; Eugene Water and Electri","Cowlitz PUD; Lakeview Light and Power; Peninsula Light; Eugene Water and Electri","Cowlitz PUD; Lakeview Light and Power; Peninsula Light; Eugene Water and Electri","Northwest of Roosevelt","98.9 MW",43,2009,Siemens,"In Service","45.8556°, -120.2886°"
"Harvest Wind Farm II","Harvest Wind Farm","Commercial Scale Wind","John Deere Wind Energy","John Deere Wind Energy","Wolverine Power Cooperative","Oliver and Chandler Townships MI","52.8 MW",32,2008,Vestas,"In Service","43.8297°, -83.2228°"
"Hasselbach Meats","Hasselbach Meats","Definition:Small Scale Wind","Hasselbach Meats",,"Hasselbach Meats","Fremont OH","0.1 MW",1,2010,"Northern Power Systems","In Service","41.4408°, -83.1344°"
"Hatchet Ridge Wind Farm","Hatchet Ridge Wind Farm","Commercial Scale Wind",,"RES Americas/Pattern Energy","Pacific Gas & Electric Co","West of Burney CA","101.2 MW",44,2010,Siemens,"In Service","40.8758°, -121.7411°"
"Haviland Wind Project","Haviland Wind Project",,,,,"Paulding County, OH","1.5 MW",1,2012,Goldwind,,"41.0208°, -84.5872°"
"Hawaii Renewable","Hawaii Renewable","Commercial Scale Wind",EnXco,EnXco,"Hawaii Electric Light Co.","Near Upolu Point Big Island HI","10.56 MW",16,2006,Vestas,"In Service","20.2564°, -155.8503°"
Hawkeye,Hawkeye,"Commercial Scale Wind","RPM Access Wind Development","RPM Access Wind Development","Central Iowa Power Cooperative","Rippey IA","37.5 MW",15,2012,Nordex,"In Service","42.9250°, -92.0300°"
"Hay Canyon Wind Farm","Hay Canyon Wind Farm","Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables","Snohomish Public Utility District","Near Moro OR","100.8 MW",48,2009,"Suzlon Energy Company","In Service","45.4794°, -120.7414°"
Headwaters,Headwaters,,,,,"Randolph County, IN","200 MW",100,2014,Vestas,,"40.0639°, -85.0947°"
"Heartland Community College","Heartland Community College","Community Wind","Heartland Community College","Harvest the Wind","Heartland Community College","Normal IL","1.65 MW",1,2012,Vestas,"In Service","40.5367°, -89.0186°"
"Hereford 1","Hereford 1",,,,,"Deaf Smith County, TX","100 MW",50,2014,Vestas,,"34.7650°, -102.3481°"
"Heritage Flight","Heritage Flight","Definition:Small Scale Wind",,,,"South Burlington VT","0.1 MW",1,2009,"Northern Power Systems","In Service","44.4631°, -73.1458°"
"Heritage Garden","Heritage Garden","Commercial Scale Wind","Heritage Sustainable Energy","Heritage Sustainable Energy","Consumers Energy / Detroit Edison","Garden MI","28 MW",16,2012,Gamesa,"In Service","45.7764°, -86.5528°"
Hidalgo,Hidalgo,,,,,"Hidalgo County, TX","150 MW",75,2016,Vestas,,"26.5150°, -98.4392°"
"Hidalgo II","Hidalgo II",,,,,"Hidalgo County, TX","100 MW",50,2016,Vestas,,"26.4797°, -98.3508°"
"High Lonesome Wind Farm","High Lonesome","Commercial Scale Wind","Edison Mission Group","Edison Mission Group",,"South of Willard NM","100 MW",40,,Clipper,"In Service","34.4983°, -105.9275°"
"High Mesa","High Mesa","Commercial Scale Wind","Exelon Wind","Exelon Wind","Idaho Power","Bliss ID","39.9 MW",19,2012,"Suzlon Energy Company","In Service","42.8881°, -115.0169°"
"High Plains Tech Center","High Plains Tech Center","Definition:Small Scale Wind","High Plains Tech Center",,"High Plains Tech Center","Woodward OK","0.1 MW",1,2010,"Northern Power Systems","In Service","36.4064°, -99.4283°"
"High Plains Wind Farm","High Plains","Commercial Scale Wind",PacifiCorp,PacifiCorp,PacifiCorp,"Southwest of Rock River WY","99 MW",66,2009,"GE Energy","In Service","41.6658°, -106.0436°"
"High Sheldon Energy Wind Farm","High Sheldon Energy Wind Farm","Commercial Scale Wind",Invenergy,Invenergy,Market,"WY County NY","112.5 MW",75,2009,"GE Energy","In Service","42.7211°, -78.4069°"
"High Winds Wind Farm","High Winds","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","PPM Energy Inc","Solano County CA","162 MW",90,2003,Vestas,"In Service","38.1247°, -121.7650°"
